Year,Income,Age,Education,Artform
2008,75K+,18 to 24,college,art museum
2002,0-15K,18 to 24,some college,art museum
2002,75K+,18 to 24,some college,art museum
2002,50K-75K,18 to 24,some college,art museum
2012,30K-50K,18 to 24,< 9th grade,craft fair
2002,15K-30K,18 to 24,high school,craft fair
2002,75K+,18 to 24,high school,craft fair
2012,0-15K,18 to 24,high school,craft fair
2002,0-15K,18 to 24,some college,craft fair
2008,50K-75K,18 to 24,some college,craft fair
2002,15K-30K,18 to 24,some high school,craft fair
2008,75K+,18 to 24,some high school,craft fair
2008,15K-30K,18 to 24,some high school,craft fair
2012,0-15K,18 to 24,some high school,craft fair
2012,75K+,18 to 24,some high school,craft fair
2002,30K-50K,18 to 24,high school,festival
2012,50K-75K,18 to 24,high school,festival
2008,30K-50K,18 to 24,some college,festival
2012,75K+,18 to 24,some college,festival
2002,75K+,18 to 24,college,jazz
2002,75K+,18 to 24,some college,jazz
2012,0-15K,18 to 24,some college,jazz
2002,30K-50K,18 to 24,high school,musical
2002,30K-50K,18 to 24,< 9th grade,park
2012,75K+,18 to 24,college,park
2012,75K+,18 to 24,college,park
2002,30K-50K,18 to 24,high school,park
2002,50K-75K,18 to 24,high school,park
2008,30K-50K,18 to 24,high school,park
2008,0-15K,18 to 24,high school,park
2008,75K+,18 to 24,high school,park
2008,15K-30K,18 to 24,high school,park
2008,0-15K,18 to 24,high school,park
2008,15K-30K,18 to 24,high school,park
2008,0-15K,18 to 24,high school,park
2008,0-15K,18 to 24,high school,park
2008,75K+,18 to 24,high school,park
2008,75K+,18 to 24,high school,park
2012,75K+,18 to 24,high school,park
2012,75K+,18 to 24,high school,park
2012,75K+,18 to 24,high school,park
2012,50K-75K,18 to 24,high school,park
2012,0-15K,18 to 24,high school,park
2012,30K-50K,18 to 24,high school,park
2012,30K-50K,18 to 24,high school,park
2002,15K-30K,18 to 24,some college,park
2002,0-15K,18 to 24,some college,park
2002,75K+,18 to 24,some college,park
2002,75K+,18 to 24,some college,park
2002,75K+,18 to 24,some college,park
2002,75K+,18 to 24,some college,park
2002,50K-75K,18 to 24,some college,park
2008,50K-75K,18 to 24,some college,park
2008,15K-30K,18 to 24,some college,park
2008,75K+,18 to 24,some college,park
2008,50K-75K,18 to 24,some college,park
2008,75K+,18 to 24,some college,park
2008,75K+,18 to 24,some college,park
2008,30K-50K,18 to 24,some college,park
2008,0-15K,18 to 24,some college,park
2012,75K+,18 to 24,some college,park
2012,30K-50K,18 to 24,some college,park
2012,30K-50K,18 to 24,some college,park
2012,30K-50K,18 to 24,some college,park
2012,30K-50K,18 to 24,some college,park
2012,30K-50K,18 to 24,some college,park
2012,30K-50K,18 to 24,some college,park
2002,0-15K,18 to 24,some high school,park
2008,0-15K,18 to 24,some high school,park
2012,15K-30K,18 to 24,some high school,park
2002,30K-50K,18 to 24,high school,play
2002,0-15K,18 to 24,some high school,play
2012,30K-50K,18 to 24,some high school,play
2012,30K-50K,18 to 24,< 9th grade,salsa
2008,30K-50K,18 to 24,high school,salsa
2008,15K-30K,18 to 24,high school,salsa
2012,30K-50K,18 to 24,high school,salsa
2012,75K+,18 to 24,high school,salsa
2012,30K-50K,18 to 24,high school,salsa
2012,15K-30K,18 to 24,high school,salsa
2012,50K-75K,18 to 24,high school,salsa
2012,0-15K,18 to 24,high school,salsa
2008,15K-30K,18 to 24,some college,salsa
2012,50K-75K,18 to 24,some college,salsa
2012,30K-50K,18 to 24,some high school,salsa
2002,15K-30K,25 to 34,< 9th grade,art museum
2012,30K-50K,25 to 34,college,art museum
2008,30K-50K,25 to 34,graduate school,art museum
2002,30K-50K,25 to 34,high school,art museum
2008,30K-50K,25 to 34,high school,art museum
2002,15K-30K,25 to 34,some college,art museum
2008,75K+,25 to 34,some college,art museum
2008,75K+,25 to 34,some college,art museum
2012,0-15K,25 to 34,some college,art museum
2012,75K+,25 to 34,some college,art museum
2008,75K+,25 to 34,some high school,art museum
2012,30K-50K,25 to 34,some college,ballet
2012,30K-50K,25 to 34,< 9th grade,classical
2002,75K+,25 to 34,college,classical
2008,0-15K,25 to 34,< 9th grade,craft fair
2012,30K-50K,25 to 34,college,craft fair
2002,75K+,25 to 34,high school,craft fair
2002,15K-30K,25 to 34,high school,craft fair
2002,50K-75K,25 to 34,high school,craft fair
2008,50K-75K,25 to 34,high school,craft fair
2008,50K-75K,25 to 34,high school,craft fair
2008,30K-50K,25 to 34,high school,craft fair
2012,0-15K,25 to 34,high school,craft fair
2012,75K+,25 to 34,high school,craft fair
2012,75K+,25 to 34,high school,craft fair
2002,75K+,25 to 34,some college,craft fair
2008,75K+,25 to 34,some college,craft fair
2008,50K-75K,25 to 34,some college,craft fair
2012,30K-50K,25 to 34,some college,craft fair
2012,50K-75K,25 to 34,some college,craft fair
2002,15K-30K,25 to 34,some high school,craft fair
2008,50K-75K,25 to 34,some high school,craft fair
2008,50K-75K,25 to 34,some high school,craft fair
2008,50K-75K,25 to 34,some high school,craft fair
2012,0-15K,25 to 34,some high school,craft fair
2008,15K-30K,25 to 34,< 9th grade,dance
2008,30K-50K,25 to 34,some college,dance
2008,30K-50K,25 to 34,college,festival
2012,75K+,25 to 34,college,festival
