Year,Income,Age,Education,Artform
2002,30K-50K,25-34,3,Parks
2002,30K-50K,65-74,3,Parks
2002,0-15K,55-64,4,Craft Fair
2002,30K-50K,25-34,3,Parks
2002,30K-50K,45-54,5,Parks
2002,0-15K,25-34,4,Parks
2002,0-15K,25-34,4,Craft Fair
2002,0-15K,25-34,3,Parks
2002,50K-75K,25-34,4,Craft Fair
2002,75K+,45-54,5,Parks
2002,50K-75K,25-34,4,Parks
2002,0-15K,35-44,3,Festival
2002,30K-50K,35-44,3,Parks
2002,75K+,75+,3,Parks
2002,0-15K,75+,4,Parks
2002,30K-50K,55-64,3,Craft Fair
2002,75K+,55-64,5,Parks
2002,30K-50K,25-34,3,Parks
2002,30K-50K,25-34,4,Parks
2002,75K+,55-64,6,Festival
2002,50K-75K,35-44,4,Parks
2002,15K-30K,35-44,4,Parks
2002,0-15K,35-44,2,Play
2002,30K-50K,35-44,4,Festival
2002,30K-50K,18-24,3,Craft Fair
2002,0-15K,18-24,4,Parks
2002,0-15K,55-64,2,Parks
2002,0-15K,75+,1,Parks
2002,0-15K,45-54,3,Jazz
2002,15K-30K,35-44,3,Craft Fair
2002,0-15K,45-54,3,Parks
2002,30K-50K,18-24,4,Craft Fair
2002,50K-75K,18-24,4,Parks
2002,15K-30K,18-24,4,Craft Fair
2008,0-15K,55-64,2,Parks
2008,75K+,25-34,4,Parks
2008,75K+,25-34,5,Parks
2008,30K-50K,35-44,4,Parks
2008,50K-75K,55-64,4,Festival
2008,15K-30K,75+,3,Dance
2008,50K-75K,35-44,3,Festival
2008,30K-50K,45-54,4,Parks
2008,0-15K,45-54,3,Craft Fair
2008,50K-75K,45-54,5,Parks
2008,50K-75K,45-54,4,Parks
2008,50K-75K,25-34,2,Festival
2008,50K-75K,25-34,2,Festival
2008,15K-30K,55-64,4,Festival
2008,15K-30K,25-34,2,Parks
2008,30K-50K,25-34,5,Art Museum
2008,30K-50K,25-34,3,Parks
2008,30K-50K,18-24,4,Parks
2008,15K-30K,65-74,3,Parks
2008,15K-30K,75+,5,Parks
2008,15K-30K,55-64,4,Parks
2008,30K-50K,25-34,3,Craft Fair
2008,0-15K,55-64,5,Parks
2008,30K-50K,45-54,3,Play
2008,30K-50K,65-74,1,Salsa
2008,15K-30K,55-64,2,Parks
2008,30K-50K,35-44,6,Parks
2008,15K-30K,55-64,4,Craft Fair
2008,15K-30K,18-24,2,Craft Fair
2008,75K+,35-44,5,Craft Fair
2008,75K+,35-44,6,Craft Fair
2008,30K-50K,45-54,1,Art Museum
2008,30K-50K,45-54,1,Art Museum
2008,75K+,35-44,5,Classical
2008,30K-50K,45-54,3,Parks
2008,75K+,55-64,4,Festival
2012,30K-50K,65-74,1,Parks
2012,75K+,35-44,1,Parks
2012,75K+,45-54,6,Parks
2012,75K+,25-34,4,Parks
2012,75K+,25-34,4,Parks
2012,50K-75K,55-64,4,Parks
2012,0-15K,25-34,3,Salsa
2012,50K-75K,65-74,5,Parks
2012,50K-75K,55-64,6,Parks
2012,15K-30K,35-44,4,Play
2012,30K-50K,65-74,3,Parks
2012,30K-50K,65-74,3,Parks
2012,75K+,65-74,5,Festival
2012,75K+,55-64,6,Parks
2012,75K+,55-64,4,Craft Fair
2012,50K-75K,65-74,3,Parks
2012,0-15K,25-34,3,Craft Fair
2012,50K-75K,25-34,3,Parks
2012,50K-75K,25-34,4,Parks
2012,75K+,35-44,2,Parks
2012,75K+,18-24,3,Parks
2012,50K-75K,18-24,3,Parks
2012,50K-75K,55-64,4,Art Museum
2012,15K-30K,35-44,4,Parks
2012,15K-30K,35-44,4,Parks
2012,0-15K,25-34,6,Parks
2012,0-15K,25-34,5,Parks
